query-id	corpus-id	score
dqa-en-human_anno-117-q000	dqa-en-117-novel-summary	1
dqa-en-human_anno-117-q001	dqa-en-117-novel-summary	1
dqa-en-human_anno-117-q002	dqa-en-117-novel-summary	1
dqa-en-human_anno-117-q003	dqa-en-117-novel-summary	1
dqa-en-human_anno-117-q004	dqa-en-117-novel-summary	1
dqa-en-human_anno-118-q000	dqa-en-118-novel-summary	1
dqa-en-human_anno-118-q001	dqa-en-118-novel-summary	1
dqa-en-human_anno-118-q002	dqa-en-118-novel-summary	1
dqa-en-human_anno-118-q003	dqa-en-118-novel-summary	1
dqa-en-human_anno-118-q004	dqa-en-118-novel-summary	1
dqa-en-human_anno-118-q005	dqa-en-118-novel-summary	1
dqa-en-human_anno-118-q006	dqa-en-118-novel-summary	1
dqa-en-human_anno-121-q000	dqa-en-121-novel-summary	1
dqa-en-human_anno-121-q001	dqa-en-121-novel-summary	1
dqa-en-human_anno-121-q002	dqa-en-121-novel-summary	1
dqa-en-human_anno-121-q003	dqa-en-121-novel-summary	1
dqa-en-human_anno-121-q004	dqa-en-121-novel-summary	1
dqa-en-human_anno-121-q005	dqa-en-121-novel-summary	1
dqa-en-human_anno-124-q000	dqa-en-124-novel-summary	1
dqa-en-human_anno-124-q001	dqa-en-124-novel-summary	1
dqa-en-human_anno-124-q002	dqa-en-124-novel-summary	1
dqa-en-human_anno-124-q003	dqa-en-124-novel-summary	1
dqa-en-human_anno-124-q004	dqa-en-124-novel-summary	1
dqa-en-human_anno-124-q005	dqa-en-124-novel-summary	1
dqa-en-human_anno-126-q000	dqa-en-126-novel-summary	1
dqa-en-human_anno-126-q001	dqa-en-126-novel-summary	1
dqa-en-human_anno-126-q002	dqa-en-126-novel-summary	1
dqa-en-human_anno-126-q003	dqa-en-126-novel-summary	1
dqa-en-human_anno-126-q004	dqa-en-126-novel-summary	1
dqa-en-human_anno-126-q005	dqa-en-126-novel-summary	1
dqa-en-human_anno-128-q000	dqa-en-128-novel-summary	1
dqa-en-human_anno-128-q001	dqa-en-128-novel-summary	1
dqa-en-human_anno-128-q002	dqa-en-128-novel-summary	1
dqa-en-human_anno-128-q003	dqa-en-128-novel-summary	1
dqa-en-human_anno-128-q004	dqa-en-128-novel-summary	1
dqa-en-human_anno-128-q005	dqa-en-128-novel-summary	1
dqa-en-human_anno-134-q000	dqa-en-134-novel-summary	1
dqa-en-human_anno-134-q001	dqa-en-134-novel-summary	1
dqa-en-human_anno-134-q002	dqa-en-134-novel-summary	1
dqa-en-human_anno-134-q003	dqa-en-134-novel-summary	1
dqa-en-human_anno-134-q004	dqa-en-134-novel-summary	1
dqa-en-human_anno-134-q005	dqa-en-134-novel-summary	1
dqa-en-human_anno-136-q000	dqa-en-136-novel-summary	1
dqa-en-human_anno-136-q001	dqa-en-136-novel-summary	1
dqa-en-human_anno-136-q002	dqa-en-136-novel-summary	1
dqa-en-human_anno-136-q003	dqa-en-136-novel-summary	1
dqa-en-human_anno-136-q004	dqa-en-136-novel-summary	1
dqa-en-human_anno-136-q005	dqa-en-136-novel-summary	1
dqa-en-human_anno-137-q000	dqa-en-137-novel-summary	1
dqa-en-human_anno-137-q001	dqa-en-137-novel-summary	1
dqa-en-human_anno-137-q002	dqa-en-137-novel-summary	1
dqa-en-human_anno-137-q003	dqa-en-137-novel-summary	1
dqa-en-human_anno-137-q004	dqa-en-137-novel-summary	1
dqa-en-human_anno-137-q005	dqa-en-137-novel-summary	1
dqa-en-human_anno-137-q006	dqa-en-137-novel-summary	1
dqa-en-human_anno-140-q000	dqa-en-140-novel-summary	1
dqa-en-human_anno-140-q001	dqa-en-140-novel-summary	1
dqa-en-human_anno-140-q002	dqa-en-140-novel-summary	1
dqa-en-human_anno-140-q003	dqa-en-140-novel-summary	1
dqa-en-human_anno-140-q004	dqa-en-140-novel-summary	1
dqa-en-human_anno-140-q005	dqa-en-140-novel-summary	1
dqa-en-human_anno-142-q000	dqa-en-142-novel-summary	1
dqa-en-human_anno-142-q001	dqa-en-142-novel-summary	1
